epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,5962.06,0.75878,0.47045,1.05812,0.9923,0.89422,0.9469,0.80194,0.6645,0.41934,0.97713,0.00025241,0.00025241,0.00025241
75,6029.54,0.76239,0.47442,1.0487,0.98435,0.87981,0.95197,0.79955,0.68889,0.43458,0.98156,0.000241954,0.000241954,0.000241954
76,6094.22,0.74621,0.46068,1.0423,0.98115,0.91925,0.95103,0.80826,0.65143,0.40961,0.97628,0.000231802,0.000231802,0.000231802
77,6158.82,0.74004,0.45798,1.05273,0.98958,0.90405,0.94871,0.82596,0.6145,0.41124,0.9626,0.000221964,0.000221964,0.000221964
78,6225.64,0.76027,0.45679,1.04198,0.99001,0.90685,0.95279,0.82731,0.62692,0.41937,0.95547,0.00021245,0.00021245,0.00021245
79,6292.84,0.716,0.43635,1.01653,0.97592,0.90278,0.95315,0.82953,0.6151,0.39965,0.95121,0.000203269,0.000203269,0.000203269
80,6359.39,0.72034,0.44734,1.03949,0.99067,0.87782,0.95148,0.81455,0.63464,0.40126,0.95412,0.00019443,0.00019443,0.00019443
81,6423.44,0.72382,0.44192,1.03342,0.99265,0.90318,0.9535,0.83534,0.57838,0.38592,0.9403,0.000185942,0.000185942,0.000185942
82,6491.8,0.75143,0.45666,1.05638,0.99086,0.89533,0.94466,0.80689,0.65266,0.41558,0.94803,0.000177814,0.000177814,0.000177814
83,6556.55,0.74843,0.43867,1.03545,0.97707,0.90879,0.94555,0.81934,0.63724,0.40905,0.94192,0.000170052,0.000170052,0.000170052
84,6620.58,0.71817,0.43855,1.03388,0.97373,0.90702,0.95125,0.81187,0.66604,0.41222,0.95537,0.000162666,0.000162666,0.000162666
85,6684.45,0.70491,0.42722,1.02771,0.99315,0.89513,0.95114,0.8216,0.5865,0.39165,0.93824,0.000155662,0.000155662,0.000155662
86,6748.22,0.71979,0.42884,1.03234,0.98977,0.90811,0.95342,0.83329,0.58355,0.39493,0.93105,0.000149047,0.000149047,0.000149047
87,6811.98,0.72284,0.43189,1.04378,0.98167,0.92278,0.95454,0.82636,0.60607,0.39818,0.93885,0.000142828,0.000142828,0.000142828
88,6875.55,0.72193,0.43535,1.04096,0.98547,0.90179,0.94982,0.83599,0.58076,0.39049,0.92687,0.00013701,0.00013701,0.00013701
89,6941.55,0.70361,0.41462,1.02475,0.99458,0.9059,0.95766,0.83189,0.60398,0.38351,0.93261,0.000131601,0.000131601,0.000131601
90,7005.6,0.70969,0.40371,1.03112,0.99133,0.91159,0.95055,0.82674,0.60889,0.38272,0.93614,0.000126604,0.000126604,0.000126604
91,7107.85,0.53425,0.34572,0.97277,0.99666,0.89223,0.9467,0.83748,0.562,0.38419,0.91915,0.000122025,0.000122025,0.000122025
92,7175.8,0.51184,0.34242,0.95273,0.99177,0.91451,0.9512,0.86995,0.47063,0.35479,0.89064,0.000117868,0.000117868,0.000117868
93,7241.62,0.50268,0.31463,0.94667,0.97796,0.8903,0.94522,0.85714,0.502,0.38309,0.89622,0.000114138,0.000114138,0.000114138
94,7305.67,0.5145,0.32715,0.94725,0.98669,0.89346,0.94992,0.86989,0.45883,0.35922,0.88519,0.000110837,0.000110837,0.000110837
95,7369.53,0.48067,0.31081,0.9274,0.99004,0.89902,0.95119,0.85972,0.49891,0.35778,0.90001,0.000107971,0.000107971,0.000107971
96,7433.17,0.50205,0.31643,0.93874,0.98717,0.89902,0.94871,0.86966,0.47145,0.3679,0.89283,0.00010554,0.00010554,0.00010554
97,7496.68,0.49596,0.31345,0.94489,0.9757,0.90218,0.95099,0.88181,0.42547,0.34698,0.88084,0.000103548,0.000103548,0.000103548
98,7562.42,0.48667,0.31773,0.93344,0.99056,0.89605,0.95343,0.87244,0.46417,0.34798,0.89119,0.000101997,0.000101997,0.000101997
99,7626.35,0.49853,0.31171,0.9423,0.9865,0.89902,0.95373,0.87521,0.48317,0.3687,0.89821,0.000100888,0.000100888,0.000100888
100,7690.28,0.4866,0.30846,0.93023,0.97314,0.9159,0.95448,0.86723,0.49359,0.36572,0.8958,0.000100222,0.000100222,0.000100222
